iter	Logloss
0	0.6753798687
1	0.6581611641
2	0.6428466881
3	0.628739392
4	0.6152185641
5	0.6027737977
6	0.5913549685
7	0.5808619568
8	0.5712162366
9	0.5624473305
10	0.5542488475
11	0.5470944734
12	0.5403804157
13	0.5336460129
14	0.5277693769
15	0.5223736302
16	0.5174217977
17	0.5128674311
18	0.5086386762
19	0.5045990703
20	0.5006084188
21	0.4970660431
22	0.4937399274
23	0.4909536567
24	0.4880328774
25	0.4852800296
26	0.4829075819
27	0.4806171713
28	0.4784619037
29	0.4765796099
30	0.4749260122
31	0.473282358
32	0.4717969516
33	0.4703177342
34	0.4690177457
35	0.4678061885
36	0.4665631047
37	0.4655818132
38	0.4644749446
39	0.4635785556
40	0.4626898288
41	0.4618913499
42	0.4610996274
43	0.4604692726
44	0.4597749228
45	0.4591422012
46	0.45855242
47	0.4580686896
48	0.4575431325
49	0.4569896868
50	0.4565415714
51	0.4560246474
52	0.4555590019
53	0.4552172257
54	0.4548992679
55	0.4545534709
56	0.4542349599
57	0.4539162044
58	0.4536711047
59	0.4534870279
60	0.4532011748
61	0.4530038087
62	0.4527854766
63	0.4525363313
64	0.4522809716
65	0.4520626506
66	0.4518877432
67	0.4517442442
68	0.4515554802
69	0.4514515139
70	0.4512537622
71	0.4510817168
72	0.4509277565
73	0.4507932562
74	0.4506400728
75	0.4505377067
76	0.4503857055
77	0.4502549696
78	0.4501456679
79	0.4500774866
80	0.4499786241
81	0.449851191
82	0.4497573136
83	0.4496591613
84	0.4495798412
85	0.4494814503
86	0.4494049938
87	0.4493112011
88	0.4492578682
89	0.4491577368
90	0.4490943572
91	0.4490387422
92	0.4489851603
93	0.4489067963
94	0.4488420002
95	0.448793415
96	0.4487372152
97	0.4486913819
98	0.4486447187
99	0.4486082282
100	0.4485475849
101	0.4485015013
102	0.4484538228
103	0.4484012323
104	0.4483538409
105	0.4483184907
106	0.4482848983
107	0.4482612173
108	0.4482156925
109	0.4481834565
110	0.4481575198
111	0.4481228139
112	0.4480499888
113	0.4480066145
114	0.4479508874
115	0.4478963582
116	0.4478628
117	0.4478379513
118	0.4478027601
119	0.4477732602
120	0.4477366055
121	0.4477179504
122	0.4476855428
123	0.4476549213
124	0.4476062302
125	0.4475817646
126	0.4475489041
127	0.4475107527
128	0.4474740548
129	0.4474474185
130	0.4474239626
131	0.4473854802
132	0.4473698825
133	0.4473372123
134	0.4473234396
135	0.4473059753
136	0.4472825535
137	0.4472531116
138	0.4472354458
139	0.4472176854
140	0.4472037506
141	0.4471838865
142	0.4471691685
143	0.4471516212
144	0.4471339066
145	0.4471133794
146	0.4470928638
147	0.4470711832
148	0.4470342031
149	0.4470227072
150	0.4469891572
151	0.4469683887
152	0.4469465236
153	0.4469327961
154	0.4469191711
155	0.446904924
156	0.4468844194
157	0.4468625233
158	0.4468389986
159	0.4468282109
160	0.4468109445
161	0.4467979136
162	0.4467641975
163	0.4467501739
164	0.4467366971
165	0.4467089938
166	0.4466976965
167	0.4466722098
168	0.4466509269
169	0.4466287923
170	0.4466168193
171	0.4465987278
172	0.4465853593
173	0.446576146
174	0.4465610106
175	0.446547481
176	0.4465292931
177	0.4465204317
178	0.4465099195
179	0.4464854442
180	0.4464713591
181	0.4464576005
182	0.4464519917
183	0.4464401354
184	0.4464327002
185	0.4464219795
186	0.4464024424
187	0.4463823314
188	0.4463706189
189	0.4463529502
190	0.446343325
191	0.4463218199
192	0.4463049088
193	0.4462877072
194	0.4462656283
195	0.4462567204
196	0.446238698
197	0.4462198621
198	0.4462006412
199	0.446182936
200	0.4461694983
201	0.4461497339
202	0.4461374333
203	0.4461227722
204	0.4461042984
205	0.4460921498
206	0.4460812763
207	0.4460689908
208	0.4460595669
209	0.4460489137
210	0.4460435359
211	0.446028864
212	0.446017345
213	0.4460069112
214	0.445990381
215	0.4459717374
216	0.4459655025
217	0.4459452096
218	0.4459382811
219	0.4459264037
220	0.445903032
221	0.4458897563
222	0.4458814519
223	0.4458662084
224	0.4458545976
225	0.445849972
226	0.4458309025
227	0.4458244065
228	0.4458130132
229	0.4457979834
230	0.4457875759
231	0.4457739309
232	0.44576839
233	0.4457591744
234	0.4457548675
235	0.4457448339
236	0.4457310911
237	0.4457192312
238	0.4457077672
239	0.4456979808
240	0.445682508
241	0.4456678974
242	0.4456510047
243	0.4456343273
244	0.4456150184
245	0.4456041834
246	0.4455983033
247	0.445588743
248	0.4455816463
249	0.4455750221
250	0.4455636035
251	0.4455522165
252	0.4455408653
253	0.4455338411
254	0.4455154128
255	0.4455036135
256	0.4454949596
257	0.4454862897
258	0.4454780714
259	0.4454710893
260	0.4454506115
261	0.4454422556
262	0.4454292037
263	0.4454229156
264	0.4454127206
265	0.4454063966
266	0.4454003576
267	0.4453907463
268	0.4453822319
269	0.4453738377
270	0.4453604103
271	0.445350483
272	0.4453366958
273	0.4453296703
274	0.4453208124
275	0.4453049595
276	0.4452929705
277	0.4452856183
278	0.4452784882
279	0.4452648404
280	0.4452560473
281	0.4452493451
282	0.4452406793
283	0.4452378786
284	0.445224483
285	0.4452129789
286	0.4452043248
287	0.445197459
288	0.445178903
289	0.4451677043
290	0.4451612382
291	0.445147078
292	0.4451328533
293	0.4451177971
294	0.445108603
295	0.4450921952
296	0.4450766803
297	0.4450681283
298	0.4450524336
299	0.4450379761
300	0.4450273293
301	0.4450109751
302	0.4450040811
303	0.4449925142
304	0.4449825396
305	0.4449742199
306	0.4449656666
307	0.4449597269
308	0.4449548799
309	0.4449386886
310	0.4449287542
311	0.4449237195
312	0.4449139083
313	0.4449022235
314	0.4448958108
315	0.444882808
316	0.4448708909
317	0.444861756
318	0.4448504673
319	0.4448372203
320	0.4448251941
321	0.4448136868
322	0.4448023773
323	0.4447941139
324	0.4447823916
325	0.444769941
326	0.4447583673
327	0.4447430615
328	0.444733726
329	0.4447200135
330	0.4447060018
331	0.4446903581
332	0.4446807664
333	0.4446648262
334	0.4446544757
335	0.4446389233
336	0.4446258606
337	0.4446157947
338	0.4446056392
339	0.4445903761
340	0.4445686184
341	0.4445513636
342	0.4445377635
343	0.444517958
344	0.4444979735
345	0.4444772776
346	0.4444681021
347	0.444451299
348	0.4444276742
349	0.4444176405
350	0.4443957946
351	0.4443824312
352	0.4443634393
353	0.4443406448
354	0.4443284098
355	0.4443127402
356	0.4442921532
357	0.4442748531
358	0.4442535146
359	0.4442394527
360	0.4442203519
361	0.4441981009
362	0.4441719295
363	0.4441470069
364	0.4441261573
365	0.4441046116
366	0.4440797457
367	0.4440513638
368	0.4440168337
369	0.4439917651
370	0.4439631225
371	0.4439451434
372	0.443929088
373	0.4439054871
374	0.4438752946
375	0.443838206
376	0.4438047343
377	0.4437797182
378	0.4437529465
379	0.4437195824
380	0.4436941081
381	0.4436586689
382	0.4436242347
383	0.4436025912
384	0.4435582063
385	0.4435137856
386	0.4434792012
387	0.4434418797
388	0.4434114297
389	0.4433798832
390	0.4433475319
391	0.4433074569
392	0.4432789222
393	0.4432406663
394	0.4431931381
395	0.4431513202
396	0.4431122666
397	0.4430649004
398	0.4430203281
399	0.4429943193
400	0.4429604234
401	0.4429205207
402	0.4428832351
403	0.4428433263
404	0.4427966138
405	0.4427621165
406	0.4427226966
407	0.4426854025
408	0.4426484118
409	0.4426123775
410	0.4425717666
411	0.4425454314
412	0.4424984606
413	0.4424516438
414	0.4424117634
415	0.4423729545
416	0.4423370622
417	0.442293762
418	0.4422519433
419	0.4422046235
420	0.4421761884
421	0.442130734
422	0.4420926579
423	0.4420609958
424	0.4420360967
425	0.4420030455
426	0.4419637003
427	0.4419114693
428	0.4418872017
429	0.4418419907
430	0.441797626
431	0.4417568147
432	0.4417492109
433	0.4417089692
434	0.4416668332
435	0.4416358631
436	0.4415948658
437	0.4415475644
438	0.4414986877
439	0.4414641944
440	0.4414324119
441	0.4414120913
442	0.4413769464
443	0.4413409323
444	0.4413124925
445	0.4412760738
446	0.4412448444
447	0.4411949277
448	0.4411709962
449	0.4411543523
450	0.4411225132
451	0.4410845775
452	0.4410530876
453	0.4410026644
454	0.440975593
455	0.4409279928
456	0.4408928714
457	0.4408524374
458	0.4408114412
459	0.4407907988
460	0.4407809954
461	0.4407460236
462	0.4407052619
463	0.4406754601
464	0.4406370875
465	0.440607258
466	0.4405825182
467	0.4405411287
468	0.4405064681
469	0.4404733788
470	0.4404351499
471	0.4404008972
472	0.4403908406
473	0.4403577321
474	0.4403311922
475	0.4403238914
476	0.4403038697
477	0.4402500414
478	0.4402306766
479	0.4401867058
480	0.440153383
481	0.4401231148
482	0.4400849482
483	0.4400428705
484	0.4400346169
485	0.4399976611
486	0.4399660352
487	0.4399300927
488	0.4398915057
489	0.4398525974
490	0.4398189273
491	0.4397989616
492	0.4397701154
493	0.4397185557
494	0.4396842986
495	0.4396391459
496	0.4395894435
497	0.4395466115
498	0.4395187978
499	0.4394901288
500	0.4394576752
501	0.4394227822
502	0.4394042055
503	0.4393664014
504	0.439322902
505	0.4393147294
506	0.4392742197
507	0.4392421177
508	0.4392060076
509	0.4391953651
510	0.4391641288
511	0.4391220936
512	0.4390840255
513	0.4390702867
514	0.4390330575
515	0.4389969434
516	0.4389708277
517	0.4389600951
518	0.4389281588
519	0.4388913974
520	0.4388588946
521	0.438831034
522	0.4388290783
523	0.4388067862
524	0.4387791863
525	0.4387346638
526	0.4387157593
527	0.4386830151
528	0.4386595704
529	0.4386204278
530	0.4385931925
531	0.4385859376
532	0.4385525597
